	ID1	ID2	d_radians
9536	107.0	450.0	0.0388352077909
21854	324.0	411.0	0.0390313882779
22790	352.0	502.0	0.0391131239877
6588	71.0	374.0	0.0391320353247
4997	52.0	209.0	0.0393811754301
12256	142.0	440.0	0.0396748797485
1369	14.0	137.0	0.0399989724787
24838	443.0	475.0	0.040279888884
15393	191.0	316.0	0.0410003886475
21091	304.0	363.0	0.0415210873065
8333	93.0	198.0	0.0417167762307
22198	333.0	452.0	0.0417610256094
9045	101.0	240.0	0.0419685417001
18643	247.0	384.0	0.0421445011041
15767	197.0	414.0	0.0427867699406
7681	84.0	215.0	0.0429369592093
7476	80.0	499.0	0.0430166989738
22741	351.0	439.0	0.043354037239
23883	394.0	402.0	0.0439940282676
9308	104.0	501.0	0.0440312193938
6037	64.0	475.0	0.0440930905099
9682	109.0	365.0	0.0443238831346
8572	95.0	454.0	0.0443962752518
24549	427.0	504.0	0.0446546238974
20863	299.0	373.0	0.044708136776
14449	176.0	358.0	0.0448952589579
2466	25.0	84.0	0.0453909517118
19708	270.0	427.0	0.0455714781944
23988	398.0	511.0	0.0460834016225
11254	129.0	217.0	0.046301625945
2358	24.0	133.0	0.0468082637512
6268	67.0	346.0	0.0469138365157
24406	421.0	454.0	0.0471901253212
1207	12.0	366.0	0.0472191037219
13920	168.0	205.0	0.0474895847675
3638	37.0	194.0	0.0475435156705
13907	167.0	458.0	0.0476110090063
5116	54.0	68.0	0.0477539534435
13953	168.0	379.0	0.0479810060477
1967	20.0	320.0	0.0483141576067
3059	30.0	320.0	0.048323357552
13144	155.0	289.0	0.0490171703738
6325	68.0	248.0	0.0491863614712
6429	69.0	354.0	0.0494070365811
3520	36.0	180.0	0.049454826492
14987	184.0	454.0	0.0497188178566
6361	68.0	410.0	0.0497674279333
20206	281.0	417.0	0.0497883620311
9481	107.0	196.0	0.0501165912585
7651	84.0	116.0	0.0503352021203
6662	72.0	198.0	0.0508588279801
19532	266.0	362.0	0.0508969761676
19197	259.0	415.0	0.0509923076583
21995	328.0	374.0	0.0512185806967
5005	52.0	240.0	0.0513372282425
10927	125.0	239.0	0.0519843568474
18211	239.0	415.0	0.0521920399101
11359	130.0	323.0	0.0522886842095
10168	115.0	452.0	0.0527569098801
11122	127.0	381.0	0.0530691676521
7385	80.0	105.0	0.0533531946718
8217	91.0	269.0	0.0533904968862
6706	72.0	427.0	0.0537325221215
23284	370.0	486.0	0.0542486563475
14809	182.0	215.0	0.0543744227552
8751	98.0	140.0	0.0544892592844
6735	72.0	504.0	0.0545117529763
13032	153.0	461.0	0.0546361781784
20056	278.0	436.0	0.0546421953748
13390	159.0	385.0	0.0547822701368
2925	29.0	248.0	0.0552707950273
8998	100.0	475.0	0.055311414441
23661	385.0	488.0	0.0554267688318
1289	13.0	294.0	0.0556174225095
