	DEC_degrees	ID	MAG	RA_degrees
185	-68.10806	186	3.05	191.57042
186	71.83389	187	3.05	230.18208
187	67.66167	188	3.07	288.13876
188	-38.0475	189	3.08	252.9675
189	27.95972	190	3.08	292.68042
190	-14.78139	191	3.08	305.25293
191	5.94556	192	3.11	133.84833
192	-16.19361	193	3.11	162.40625
193	-36.76167	194	3.11	274.40668
194	-47.29139	195	3.11	309.39166
195	-35.76833	196	3.12	87.74
196	34.3925	197	3.13	140.26375
197	-57.03444	198	3.13	142.80542
198	-63.01972	199	3.13	173.94501
199	-42.10417	200	3.13	224.79042
200	-55.99028	201	3.13	254.655
201	48.04167	202	3.14	134.80167
202	24.83917	203	3.14	258.75793
203	36.80917	204	3.16	258.76166
204	41.23444	205	3.17	76.62875
205	-43.19611	206	3.17	99.44042
206	51.67722	207	3.17	143.21417
207	65.71472	208	3.17	257.19666
208	-26.99083	209	3.17	281.41418
209	6.96139	210	3.19	72.46
210	-22.37111	211	3.19	76.36542
211	-64.97528	212	3.19	220.62666
212	9.375	213	3.2	254.41708
213	30.22694	214	3.2	318.23416
214	-37.04333	215	3.21	267.46457
215	77.6325	216	3.21	354.83667
216	-40.6475	217	3.22	230.34293
217	-0.82139	218	3.23	302.82626
218	70.56083	219	3.23	322.16501
219	-40.30472	220	3.24	44.56542
220	-74.23889	221	3.24	56.80958
221	-4.6925	222	3.24	244.58041
222	32.68944	223	3.24	284.73584
223	-43.30139	224	3.25	112.3075
224	-2.89889	225	3.26	275.32751
225	30.86083	226	3.27	9.83208
226	-55.045	227	3.27	68.49917
227	-61.94139	228	3.27	102.0475
228	-26.6825	229	3.27	211.59293
229	-24.99944	230	3.27	260.5025
230	-15.82083	231	3.27	343.66251
231	22.50667	232	3.28	93.71917
232	-25.28194	233	3.29	226.0175
233	58.96611	234	3.29	231.2325
234	-46.71861	235	3.31	16.52083
235	-16.20556	236	3.31	78.23292
236	57.0325	237	3.31	183.85667
237	-70.03806	238	3.32	153.43417
238	-61.68528	239	3.32	158.00583
239	-27.67056	240	3.32	286.73499
240	-43.23917	241	3.33	258.03833
241	-24.85972	242	3.34	117.32375
242	15.42944	243	3.34	168.56
243	-56.3775	244	3.34	261.34833
244	-9.77361	245	3.34	269.75668
245	-62.47389	246	3.35	63.60625
246	58.20111	247	3.35	332.71375
247	-2.39694	248	3.36	81.11917
248	12.89556	249	3.36	101.3225
249	60.71806	250	3.36	127.56625
250	3.11472	251	3.36	291.37457
251	-0.59583	252	3.37	203.67332
252	-44.68944	253	3.37	230.67043
253	63.67	254	3.38	28.59875
254	6.41889	255	3.38	131.69417
255	3.3975	256	3.38	193.90083
256	38.84028	257	3.39	46.29417
257	15.87083	258	3.4	67.16542
258	-61.33222	259	3.4	154.27083
259	10.83139	260	3.4	340.36542
260	-43.31833	261	3.41	22.09125
261	29.57889	262	3.41	28.27042
262	-41.68778	263	3.41	207.37625
263	-52.09917	264	3.41	228.07124
264	-38.39694	265	3.41	240.03043
265	27.72056	266	3.42	266.61459
266	-66.20306	267	3.42	311.23959
267	61.83889	268	3.43	311.32251
268	57.81583	269	3.44	12.275
269	-58.96694	270	3.44	137.74167
270	23.41722	271	3.44	154.1725
271	-4.8825	272	3.44	286.56207
272	-10.18222	273	3.45	17.1475
